Date Received,Product Name,Sub Product,Issue,Sub Issue,Consumer Complaint Narrative,Company Public Response,Company,State Name,Zip Code,Tags,Consumer Consent Provided,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID
7/29/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Wells Fargo & Company,VA,24540,,N/A,Phone,7/30/2013,Closed with explanation,Yes,No,468882
7/29/2013,Bank account or service,Checking account,Using a debit or ATM card,,,,Wells Fargo & Company,CA,95992,Older American,N/A,Web,7/31/2013,Closed with explanation,Yes,No,468889
7/29/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Santander Bank US,NY,10065,,N/A,Fax,7/31/2013,Closed,Yes,No,468879
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,GA,30084,,N/A,Web,7/30/2013,Closed with explanation,Yes,No,468949
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Franklin Credit Management,CT,6106,,N/A,Web,7/30/2013,Closed with explanation,Yes,No,475823
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,TX,75025,,N/A,Web,7/30/2013,Closed with explanation,Yes,No,468981
7/29/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"NRA Group, LLC",VA,20147,,N/A,Web,08-07-2013,Closed with non-monetary relief,Yes,No,467801
7/29/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,"SunTrust Banks, Inc.",FL,32818,,N/A,Referral,08-01-2013,Closed with explanation,Yes,Yes,475728
7/29/2013,Credit card,,Billing statement,,,,Citibank,OH,45247,,N/A,Referral,7/30/2013,Closed with explanation,Yes,Yes,469026
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,NV,89511,,N/A,Referral,7/30/2013,Closed with explanation,Yes,Yes,469035
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NC,27949,,N/A,Referral,7/30/2013,Closed with non-monetary relief,Yes,No,469037
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase & Co.,CA,90703,,N/A,Referral,7/30/2013,Closed with explanation,Yes,No,469284
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,CA,95821,,N/A,Referral,7/31/2013,Closed with explanation,Yes,Yes,480488
7/29/2013,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"Asset Management Professionals, LLC",PA,19145,Older American,N/A,Phone,08-01-2013,Closed with explanation,No,,468904
7/29/2013,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,Wells Fargo & Company,PA,19145,Older American,N/A,Phone,08-01-2013,Closed with non-monetary relief,Yes,No,468905
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NY,14092,,N/A,Phone,7/31/2013,Closed with explanation,Yes,No,469057
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33426,,N/A,Web,7/31/2013,Closed with explanation,Yes,Yes,469060
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NY,10019,,N/A,Web,7/30/2013,Closed with explanation,Yes,Yes,469070
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Citibank,NJ,7604,,N/A,Web,7/30/2013,Closed with explanation,Yes,No,472236
7/29/2013,Credit card,,APR or interest rate,,,,Synchrony Financial,WA,98548,,N/A,Web,7/29/2013,Closed with monetary relief,Yes,No,469131
7/29/2013,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,,,Experian,CA,90034,,N/A,Web,7/29/2013,Closed with monetary relief,Yes,No,474204
7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,HI,96793,,N/A,Web,7/31/2013,Closed with explanation,Yes,No,469138
7/29/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,JPMorgan Chase & Co.,FL,32825,,N/A,Postal mail,7/30/2013,Closed with explanation,Yes,No,469143
7/29/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Wells Fargo & Company,NY,10605,,N/A,Web,7/31/2013,Closed with non-monetary relief,Yes,No,480173
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,14467,,N/A,Referral,7/30/2013,Closed with explanation,Yes,Yes,469360
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,U.S. Bancorp,CA,92591,,N/A,Referral,7/31/2013,Closed with monetary relief,Yes,No,469632
